source,target,length
317699762,2714317928,22
41702806,41573941,22
41590420,41573941,22
42398940,41573941,22
1019377586,2974049890,22
41832843,8703186571,22
41590425,330683940,22
41632187,5078563599,22
41502176,41501559,22
41724404,5078563599,22
41647243,41501559,22
41502170,41501559,22
41606480,41573985,22
41606482,41573985,22
7162195820,2714317928,22
42001999,2974049890,22
41613381,2714317928,22
41965260,41573941,22
41812327,5078563599,22
41498715,41573941,22
41695371,5078563599,22
41606486,41573985,22
316066932,8703186571,22
42323089,8703186569,22
5758297669,41573941,22
41812245,330683940,22
41770571,8703186571,22
41907713,2974049890,22
41714748,2714317928,22
1497920978,5078563599,22
2290382379,41573941,22
41668157,5078563599,22
42305887,2714317928,22
6174369186,41573941,22
42011697,8703186571,22
41590416,41573941,22
42305950,41573941,22
41579980,41573941,22
41670767,2714317928,22
41907716,2974049890,22
41882808,2714317928,22
41719542,5078563599,22
42038810,8703186571,22
41811182,41501559,22
41587996,5078563599,21
41845663,41501559,21
41965215,41573941,21
41871395,2714317928,21
7656686887,2974049890,21
7162195817,2714317928,21
42002078,41501559,21
42263884,41501559,21
42001986,2974049890,21
41882753,8703186571,21
41719319,5078563599,21
41702808,41573941,21
386247475,41573985,21
41691991,330683940,21
41621102,330683940,21
41502179,41501559,21
41502180,41501559,21
256519018,2974049890,21
41965207,330683940,21
8905862531,41573941,21
5758297670,41573941,21
4346605152,2714317928,21
41609589,41501559,21
5229630965,41573941,21
41882810,330683940,21
42519132,41573941,21
41907729,2974049890,21
7162195821,2714317928,21
41613373,41573941,21
42404009,2974049890,21
41846695,41573941,21
41884205,41573941,21
41908248,2714317928,21
41908243,2714317928,21
41884215,330683940,21
41629675,41573995,21
1019377584,2974049890,21
41633674,2974049890,21
41832870,2714317928,21
41679541,41573941,21
2290382375,41573941,21
41794882,5078563599,21
41613379,2714317928,21
41613388,41573941,21
42406235,41501559,21
41590418,41573941,21
41606495,5078563599,21
42305883,2714317928,21
1584142751,2714317928,21
42236511,8703186571,21
42323086,8703186569,21
41770568,8703186571,21
41548002,41573941,21
41812324,5078563599,21
41590439,330683940,21
41606484,41573985,21
41647244,41501559,21
42011761,330683940,21
1584142836,2714317928,21
401886407,330683940,21
41633671,2974049890,21
317699754,2714317928,21
41598430,2714317928,21
42305961,41573941,21
5893705124,41573941,21
41633665,2974049890,21
42408862,2714317928,21
256520739,41501559,21
2161955381,2974049890,21
41677336,41573941,21
256520718,41501559,21
2454749991,2974049890,21
41830134,8703186569,21
5641650206,2714317928,21
42397753,330683940,21
42397747,2714317928,21
42397742,2714317928,21
41611264,330683940,21
41851717,41501559,21
939766460,2974049890,21
2303360705,8703186571,21
41606494,5078563599,21
41737160,2714317928,21
41907709,2974049890,21
41670766,330683940,21
41884220,2714317928,21
2290382321,41573941,21
42011694,8703186571,21
41579974,41573941,21
320053583,8703186569,21
4029297598,41573941,21
41670769,2714317928,21
4176960371,41573941,20
939776853,2974049890,20
41606492,5078563599,20
41969515,41573985,20
41884203,41573941,20
41884731,41573941,20
41737200,2714317928,20
41510578,41501559,20
42408860,2714317928,20
41502100,41501559,20
41884881,41573841,20
41884212,330683940,20
41965222,41573941,20
41737199,2714317928,20
1584142810,2714317928,20
360031376,41501559,20
42002070,41501559,20
41590442,330683940,20
41493573,2714317928,20
41903165,41573941,20
7265477677,41501559,20
41830132,8703186569,20
390530691,41573995,20
5065155122,2974049890,20
42213888,41573941,20
41715513,8703186571,20
41670759,330683940,20
41670762,2714317928,20
42001826,330683940,20
41670771,2714317928,20
41633663,2974049890,20
41633668,2974049890,20
41719540,5078563599,20
1584142616,2714317928,20
42001990,2974049890,20
41633686,2974049890,20
41509007,330683940,20
41771147,41573941,20
41509001,41501559,20
41508985,330683940,20
42703160,7241586275,20
41525161,41573941,20
41633751,2714317928,20
41633753,2714317928,20
41633755,330683940,20
7239027058,2974049890,20
2626674349,2714317928,20
41705548,41573995,20
41851715,41501559,20
4029297605,41573941,20
41812240,330683940,20
42019898,330683940,20
41882803,2714317928,20
41757589,2974049890,20
41679539,41573941,20
42238349,2974049890,20
41679547,41573941,20
42012506,41573985,20
41613371,41573941,20
41882812,330683940,20
42019701,41501559,20
42019697,2974049890,20
41613369,41573941,20
41691993,41573941,20
41832826,8703186571,20
42271499,8703186569,20
41613378,2714317928,20
42019920,330683940,20
41908258,2714317928,20
41679537,41573941,20
4347899757,2974049890,20
7162195818,2714317928,20
4347899747,2974049890,20
41548004,41573941,20
41750558,41573941,20
7162195807,2714317928,20
41611256,330683940,20
42423250,2714317928,20
41882796,2714317928,20
41875726,41573941,20
4346605150,2714317928,20
8905862530,41573941,20
41812321,5078563599,20
41832460,2714317928,20
3844371736,41501559,20
41677337,41573941,20
42482776,8703186569,20
42517069,41501559,20
41440725,41573941,20
5683836414,41573985,20
42480270,2714317928,20
41908245,2714317928,20
5683836390,41573985,20
41579972,41573941,20
41609480,41501559,20
2290382267,41573941,20
42480278,2714317928,20
41782703,2714317928,20
7265484502,41501559,20
41782656,2714317928,20
390523038,41573995,20
256520991,41501559,20
42439161,330683940,20
41969757,41573985,20
42022287,8703186569,20
255737867,41501559,20
5367365129,41573941,20
7162195824,2714317928,20
9095414328,330683940,20
42478054,2714317928,20
41913784,2974049890,20
41811195,41501559,20
41702811,41573941,20
41714407,41573995,20
401886408,330683940,20
41598428,2714317928,20
1945648636,2714317928,20
41553020,41573941,19
41525159,41573941,19
42022281,8703186569,19
42011732,41573941,19
41633758,330683940,19
255738306,8703186571,19
4347871641,41573941,19
3884382385,41573941,19
41613367,41573941,19
317699748,2714317928,19
2263218345,41501559,19
5199796528,330683940,19
42459460,41573985,19
42439146,2714317928,19
41633749,2714317928,19
42408292,41573941,19
1584142644,2714317928,19
41705546,41573995,19
41508999,41501559,19
41508989,330683940,19
41509009,330683940,19
41433539,41573985,19
42408294,41573941,19
42404994,41573941,19
41925846,41501559,19
41884803,41573841,19
41913790,2974049890,19
41884734,41573941,19
41794876,5078563599,19
41598426,2714317928,19
41884224,2714317928,19
41884259,8703186571,19
41884663,41573841,19
3730407527,41573941,19
42687150,41573941,19
5367365132,41573941,19
41737196,2714317928,19
42687152,41573941,19
41913779,2974049890,19
4176960380,330683940,19
41598783,41501559,19
314441611,41501559,19
255737869,41501559,19
9092783245,2714317928,19
41766562,41501559,19
41884199,41573941,19
41812238,330683940,19
41547994,41573941,19
41990402,8703186571,19
41832462,2714317928,19
41896294,41573941,19
2139420960,8703186571,19
4347541827,2714317928,19
42343941,8703186569,19
41832447,2714317928,19
42305878,2714317928,19
41766576,41501559,19
41812235,330683940,19
1584142800,2714317928,19
41896266,7241586275,19
42700568,41573985,19
42454768,8703186571,19
41958410,330683940,19
939776548,2974049890,19
41606456,41573995,19
3844371737,41501559,19
41965175,330683940,19
256521305,2974049890,19
41691996,41573941,19
42019698,2974049890,19
42001978,2974049890,19
7590696662,2714317928,19
42264090,8703186569,19
6387319927,8703186571,19
6387319926,8703186571,19
41757581,2974049890,19
41882797,2714317928,19
42001827,330683940,19
42019923,330683940,19
41816600,41573985,19
42001796,330683940,19
41719567,41573941,19
41633386,2974049890,19
255945997,2714317928,19
255946051,2714317928,19
4346605151,2714317928,19
41592041,41573985,19
41592039,7241586275,19
41882814,330683940,19
41882830,2714317928,19
42407697,8703186569,19
2291377747,41573941,19
4341934022,41501559,19
41965181,330683940,19
41969552,41573941,19
41969524,41573941,19
41969518,7241586275,19
41609470,2974049890,19
41609477,41501559,19
41764215,41573985,19
3983477326,41573941,19
41190693,41573941,19
4341933877,41501559,19
41724389,41573941,19
41567487,2714317928,19
42002066,41501559,19
7590696632,2714317928,19
42002035,41501559,19
3989531155,41573985,19
41440627,41573941,19
42002008,41501559,19
7162195810,2714317928,19
42001803,330683940,19
5641650173,2714317928,19
41493567,2714317928,19
42271490,8703186569,19
41830145,41573941,19
42693013,8703186571,19
41677374,7241586275,19
41267591,8703186571,19
2226686417,41573995,19
41785375,41573995,19
42551776,8703186569,19
256520541,2974049890,19
7280628307,41573941,19
41677338,41573941,19
41849438,41501559,19
41785378,41573995,19
42480190,41573941,19
319882977,8703186569,19
3365286545,5078563599,19
4341933201,41501559,19
42213876,41573941,19
42574258,41573941,19
41493571,2714317928,19
41493577,2714317928,19
41816603,41573985,18
41785372,41573995,18
7280628294,41573985,18
316738869,41573941,18
2226686510,41573995,18
41520494,2974049890,18
41507057,5078563599,18
42241463,41501559,18
41621105,330683940,18
41507054,5078563599,18
5748905437,8703186571,18
6347019706,8703186569,18
42325441,330683940,18
41816606,41573985,18
7590696626,2714317928,18
5748905438,8703186571,18
401888913,330683940,18
41670741,2714317928,18
41719331,41573941,18
42358860,2974049890,18
42228425,2714317928,18
41653781,8703186569,18
320064242,8703186569,18
41849024,8703186571,18
41653486,41573941,18
41359336,8703186571,18
42423243,2714317928,18
41423743,8703186571,18
42407695,8703186569,18
41832465,2714317928,18
41882790,41573941,18
7280628405,5078563599,18
42438942,8703186571,18
42438981,41573941,18
41832458,2714317928,18
42011751,41573941,18
41832457,2714317928,18
41719560,41573941,18
41750469,41573941,18
41751210,41573941,18
1584142797,2714317928,18
42408282,330683940,18
41750465,41573941,18
4176960312,330683940,18
7590696661,2714317928,18
41896264,7241586275,18
42012491,41573985,18
7280628305,41573941,18
41849420,41501559,18
41686984,2974049890,18
41766593,41501559,18
41847652,41573941,18
41849039,8703186571,18
41896246,5078563599,18
41882833,2714317928,18
41847645,41573941,18
42001830,330683940,18
42591714,8703186569,18
2263218338,41501559,18
3249145216,8703186571,18
41805657,41573941,18
41764213,41573985,18
41543601,41573941,18
4341934016,41501559,18
4341934018,41501559,18
4341934026,41501559,18
41547964,41573941,18
41969654,41501559,18
42477650,8703186571,18
2263218326,41501559,18
41707749,2714317928,18
41937132,2974049890,18
41190698,41573941,18
2263218341,41501559,18
5162648966,2714317928,18
3884382386,41573941,18
41190806,41573941,18
41547968,41573941,18
41674338,2974049890,18
41547975,41573841,18
42264095,8703186569,18
42591705,8703186569,18
41547986,7241586275,18
41875723,41573941,18
41433530,41573985,18
41630189,2714317928,18
41592037,7241586275,18
41493662,41573941,18
41493581,2714317928,18
41493564,2714317928,18
41613366,41573941,18
2298312622,2714317928,18
4341933084,41501559,18
42271477,8703186569,18
41724507,41573941,18
3363564233,8703186571,18
41677377,7241586275,18
42019711,41501559,18
41495434,8703186569,18
41677356,41573841,18
41677345,5078563599,18
41190689,41573941,18
315632713,41573841,18
41677342,41573941,18
42414457,41501559,18
41545512,41573995,18
41759042,41573941,18
41611252,330683940,18
255722163,8703186571,18
41203110,2974049890,18
41190628,2974049890,18
3983108652,41573941,18
41740841,5078563599,18
1945679658,41573841,18
41851703,41501559,18
41190644,2974049890,18
42347040,41573941,18
3989531161,41573985,18
41190651,2974049890,18
41190654,2974049890,18
41567488,330683940,18
41724385,41573941,18
41724384,41573941,18
41632211,41573941,18
8997644658,8703186569,18
41830127,8703186569,18
42430533,41573841,18
42469113,41501559,18
42343839,8703186571,18
41810861,8703186571,18
41771163,41573941,18
41633698,330683940,18
41754737,41573941,18
41958394,330683940,18
41885729,2974049890,18
41633746,2714317928,18
41885720,2974049890,18
41633760,330683940,18
5145026376,8703186571,18
41830147,41573941,18
42343803,8703186571,18
41633660,41501559,18
8937184601,8703186571,18
41819480,8703186571,18
8937184600,8703186571,18
41925906,41501559,18
41925916,41501559,18
9092783239,2714317928,18
41737256,2714317928,18
41884705,5078563599,18
41598782,41501559,18
41884664,41573841,18
42408932,2974049890,18
41810858,8703186571,18
41623159,2714317928,18
42574225,41573941,18
3983473448,41573941,18
3983473447,41573941,18
6381265329,41573941,18
42541897,2974049890,18
41812231,330683940,18
317438658,330683940,18
42485528,41573985,18
42485522,41573985,18
42426845,41501559,18
2301213370,8703186571,18
6381265352,41573941,18
42454756,8703186571,17
41816609,41573985,17
41913756,2974049890,17
3703650942,2714317928,17
3365286543,41573941,17
42008227,41501559,17
5045926420,41573841,17
42417741,2974049890,17
255964193,2714317928,17
42417722,2974049890,17
41710738,5078563599,17
5045926391,41573841,17
4351774068,41573941,17
41631682,41573941,17
7280628286,41573985,17
7280628288,41573985,17
316150339,8703186571,17
42612246,5078563599,17
42414454,41501559,17
42414449,41501559,17
41520498,2974049890,17
42414444,41501559,17
7280628306,5078563599,17
41631693,41573941,17
41631700,41573941,17
6503067876,41573941,17
6503067867,41573941,17
41751158,5013837645,17
42335597,41501559,17
6503070968,41573941,17
42351255,5013837645,17
41996922,2714317928,17
2263218333,41501559,17
41859261,41501559,17
42438936,8703186571,17
2263218327,41501559,17
41547972,41573841,17
42302460,41573985,17
314439814,41501559,17
2301213375,8703186571,17
2263054417,8703186569,17
41547985,7241586275,17
42406271,41501559,17
42488194,41573985,17
388430995,41573985,17
41547962,41573941,17
2139421019,8703186571,17
388430998,41573985,17
42024099,41573941,17
42454676,41573941,17
6503070913,41573941,17
41750463,41573941,17
6503070954,41573941,17
316913829,2974049890,17
41875720,41573941,17
6149033538,2714317928,17
41925878,41501559,17
3983473449,41573941,17
41979402,8703186571,17
7590688345,2714317928,17
4176960313,330683940,17
42347044,41573941,17
42430513,41573841,17
41968123,8703186569,17
41885737,2974049890,17
338075809,5013837645,17
3534315738,41573941,17
41507053,5078563599,17
42459454,41573985,17
6381265318,41573941,17
42574249,41573941,17
6381265330,41573941,17
41670750,2714317928,17
2294276655,2714317928,17
155836221,8703186571,17
6503113512,2974049890,17
6503113514,2974049890,17
7645062136,2714317928,17
42588022,8703186571,17
41493659,41573941,17
41641206,8703186571,17
42001777,2714317928,17
41719561,41573941,17
42001811,330683940,17
42408281,330683940,17
42408299,330683940,17
42018214,2974049890,17
9092783237,2714317928,17
41851684,41501559,17
42228427,2714317928,17
338074539,41573985,17
41884656,5078563599,17
256187007,2714317928,17
41884227,2714317928,17
41884667,41573841,17
41884775,41573841,17
42409067,330683940,17
42409185,41501559,17
315627932,41573841,17
42409225,8703186569,17
42409270,8703186569,17
42310971,5078563599,17
41884189,41573941,17
41606467,41573985,17
41819475,8703186569,17
41819487,8703186571,17
155835806,8703186571,17
338075208,5013837645,17
42018210,2974049890,17
41913701,2974049890,17
42397738,2714317928,17
42708626,41573941,17
3983108646,41573941,17
41593394,8703186569,17
3363564232,8703186571,17
41691914,41573941,17
41691947,41573941,17
42347369,2974049890,17
41495437,8703186569,17
42019813,2974049890,17
315632705,41573841,17
41643740,41573941,17
41587961,41573941,17
41882788,41573941,17
41643741,41573941,17
41751676,41501559,17
41751664,41501559,17
41751658,41501559,17
256520092,2974049890,17
41594798,5078563599,17
42210132,2714317928,17
3346067454,7241586275,17
41587959,41573941,17
41740842,5078563599,17
42264099,8703186569,17
42477621,8703186571,17
42001971,2974049890,17
42002042,41501559,17
41965248,330683940,17
42002051,41501559,17
7590696627,2714317928,17
4341933873,41501559,17
4341934023,41501559,17
4341934025,41501559,17
41621106,330683940,17
41937003,2974049890,17
41740840,5078563599,17
41719328,41573941,17
3846105361,8703186571,17
41653780,8703186569,17
41653773,8703186569,17
41653766,8703186569,17
2281679181,2714317928,17
255661542,41573985,17
42625391,5078563599,17
41724381,41573941,17
41520491,2974049890,17
41623158,2714317928,17
314442070,41501559,17
41633743,2714317928,17
401884184,330683940,17
41714396,41573995,17
2376762100,41501559,17
41633657,41501559,17
41633699,330683940,17
42353451,5078563599,17
41896285,41573941,17
41633745,2714317928,17
41337413,41573941,17
41896261,7241586275,17
41896244,5078563599,17
41633763,330683940,17
41633775,330683940,17
41894811,41573841,17
41894809,41573841,17
41633803,2974049890,17
41830085,8703186571,17
6387319923,8703186571,17
42584147,41501559,17
316738590,41573941,17
41567491,330683940,17
41190687,41573941,17
41190631,2974049890,17
42404795,41573841,17
41487176,41573995,17
41190709,41573941,17
41190714,41573941,17
41730198,41573941,17
41633373,2974049890,17
41190722,41573941,17
317639463,41573841,17
3249145215,8703186571,17
41190787,41573941,17
255722128,8703186571,17
314443209,41573841,17
2226686550,41573995,17
8340588586,2974049890,17
41830143,41573941,17
42306195,2714317928,16
41495574,41501559,16
42270238,2974049890,16
42454822,41573841,16
3365286546,41573941,16
3363564260,8703186571,16
41200703,41573985,16
41520487,2974049890,16
3846108773,8703186571,16
41714393,41573995,16
5162648965,2714317928,16
41969734,41573985,16
6503113510,2974049890,16
7590688346,2714317928,16
42019812,2974049890,16
317437509,330683940,16
41493554,41573941,16
41859260,41501559,16
42416455,41573941,16
5199796217,2974049890,16
3574852346,7241586275,16
42342350,41501559,16
42019837,2974049890,16
4341933191,41501559,16
4341933195,41501559,16
42407866,2974049890,16
314441687,41501559,16
41481868,41573995,16
41714394,41573995,16
41587963,5078563599,16
3846105367,8703186571,16
41640277,5078563599,16
41918815,41501559,16
41605284,2714317928,16
42606984,8703186571,16
3363564217,41573841,16
41918861,41501559,16
42024251,41501559,16
315627652,41573841,16
41819079,5078563599,16
41968104,8703186569,16
3363564245,8703186571,16
256519344,2974049890,16
41969637,5078563599,16
8142883225,5013837645,16
388430968,41573985,16
2301557579,8703186571,16
41968211,8703186571,16
41587957,41573941,16
41190707,41573941,16
41896361,41501559,16
7280628287,41573985,16
41670748,2714317928,16
41631698,41573941,16
41493657,41573941,16
2295912648,8703186571,16
42001892,2974049890,16
42302458,41573985,16
41811173,8703186569,16
42001773,2714317928,16
42011726,41573941,16
320988542,41501559,16
41855873,5078563599,16
41190725,41573941,16
41633368,2974049890,16
42489577,8703186571,16
41819076,5078563599,16
255722107,8703186571,16
42024015,5078563599,16
41641149,8703186571,16
3931741115,8703186571,16
2318614612,2714317928,16
42024021,5078563599,16
4346646679,41573841,16
372263516,41573995,16
42024159,41573941,16
41855863,5078563599,16
42001966,2974049890,16
317639387,41573841,16
255661469,41573985,16
42024033,5078563599,16
42315868,41501559,16
41913709,2974049890,16
3363563635,41573841,16
41719553,41573941,16
41750461,41573941,16
42439136,2714317928,16
42316563,2974049890,16
42587997,41573841,16
41592026,7241586275,16
41884776,41573841,16
42316566,2974049890,16
41592031,7241586275,16
41592033,7241586275,16
7555614367,2974049890,16
42316579,2974049890,16
255722007,8703186571,16
41641202,8703186571,16
41884671,41573841,16
42002048,41501559,16
41190717,41573941,16
8660637461,41573941,16
42417717,2974049890,16
8112956754,41573995,16
317699382,330683940,16
41719555,41573941,16
156181842,8703186571,16
7590687559,2714317928,16
42265978,8703186571,16
5900004681,41501559,16
41581241,41573941,16
42409017,330683940,16
41611275,330683940,16
41633797,2974049890,16
41520610,41501559,16
3629372285,41501559,16
41520615,41501559,16
41979374,8703186571,16
9095203737,41573941,16
41695448,41573941,16
41884274,8703186571,16
41751215,5013837645,16
3519328472,41573985,16
418953777,2714317928,16
255944629,2714317928,16
41884235,2714317928,16
394924711,2714317928,16
41653770,8703186569,16
42404782,5078563599,16
41751646,41501559,16
1789501290,2974049890,16
42376248,41573841,16
6503070902,41573941,16
3884364855,41573995,16
42454544,8703186571,16
41884172,41573941,16
41740838,5078563599,16
3983154703,41573941,16
41751178,5013837645,16
42409182,41501559,16
41724436,41573941,16
41594796,5078563599,16
41594795,5078563599,16
3846116083,8703186569,16
42409079,330683940,16
41851680,41501559,16
41724437,41573941,16
41691949,41573941,16
41547949,41573841,16
5045926415,41573841,16
42707463,8703186571,16
7393366714,2714317928,16
41639394,41501559,16
42414446,41501559,16
41606468,41573985,16
41819462,8703186569,16
41732183,41573941,16
41567494,330683940,16
42306191,2714317928,16
41567500,330683940,16
41631668,41573941,16
41520590,330683940,16
42687960,5013837645,16
41567502,330683940,16
314441147,41501559,16
41593393,8703186569,16
2281679183,2714317928,16
41937201,330683940,16
41896258,7241586275,16
41572706,8703186571,16
3534315716,41573941,16
3534315742,41573941,16
3534315751,41573941,16
42271421,41573941,16
41926935,41501559,16
317639876,8703186571,16
42646191,2974049890,16
41805644,41573941,16
41633655,41501559,16
41677324,5078563599,16
3983437321,41573941,16
41677339,41573941,16
41707821,2714317928,16
2376762102,41501559,16
41677347,5078563599,16
42598539,5078563599,16
42241412,41501559,16
41679543,330683940,16
41218599,8703186571,16
2376762097,41501559,16
41875715,41573941,16
41190865,41573941,16
6503070886,41573941,16
41553006,41573941,16
41885734,2974049890,16
42376223,41573841,16
3931739243,8703186571,16
41643746,41573941,16
41598778,41501559,16
41553464,41501559,16
41751651,41501559,16
41677323,5078563599,16
41633733,2974049890,16
42707518,8703186569,16
41495369,7241586275,16
330673801,41573985,16
41495372,41573941,16
42708612,5013837645,16
41875713,330683940,16
41495374,41573941,16
41979471,41573841,16
4347789190,7241586275,16
41633702,330683940,16
42441081,8703186569,16
330673826,41573985,16
41730226,41573941,15
41969739,41573985,15
2303895566,8703186569,15
42024147,41573941,15
6503070898,41573941,15
320996695,41501559,15
41883135,7241586275,15
41190728,41573941,15
41851688,41501559,15
3588278995,41501559,15
42306269,2974049890,15
3846116086,8703186569,15
41819092,5078563599,15
41567498,330683940,15
3703559016,8703186571,15
2821297233,41573995,15
41751649,41501559,15
41892207,41573941,15
3931739240,8703186571,15
42625372,41501559,15
41882779,41573941,15
41819082,5078563599,15
42257285,41573941,15
41567527,2974049890,15
42022097,8703186569,15
3223991524,41573985,15
3846105365,8703186571,15
41730192,41573941,15
41587955,41573941,15
41707755,2714317928,15
41850132,8703186571,15
41707745,2714317928,15
41850139,8703186571,15
3931741123,8703186571,15
41937068,330683940,15
41937048,2714317928,15
3363563611,41573841,15
41969747,41573985,15
41587954,41573941,15
41592029,7241586275,15
41969627,5078563599,15
42306185,2714317928,15
41238931,41573995,15
41630260,2714317928,15
42409009,2714317928,15
42376234,41573841,15
42376218,41573841,15
42303912,2974049890,15
41633731,2974049890,15
42211732,5078563599,15
41633706,330683940,15
3981260818,7241586275,15
42203094,5078563599,15
3534315715,41573941,15
3534315737,41573941,15
41689343,2714317928,15
41884680,41573841,15
41918795,41501559,15
8142883223,5013837645,15
41926922,41501559,15
41581243,41573941,15
41633650,41501559,15
41918828,41501559,15
2819398147,41573995,15
41884178,41573941,15
41683254,8703186571,15
41695444,41573941,15
338033138,2714317928,15
41547977,41573941,15
41859252,41501559,15
41547952,41573841,15
41812309,41573941,15
42409254,8703186569,15
4351723665,2714317928,15
41732180,41573941,15
41851689,41501559,15
41639392,41501559,15
41584924,8703186571,15
41884294,8703186571,15
3983112282,41573941,15
41633795,2974049890,15
41884280,8703186571,15
41590406,330683940,15
41884744,5078563599,15
41630258,2714317928,15
41655996,41501559,15
41896240,5078563599,15
41918858,41501559,15
9055770762,2974049890,15
41968094,8703186569,15
42376171,41501559,15
42436198,8703186571,15
42416457,41573941,15
2226699298,41573985,15
42001842,41573941,15
42001889,2974049890,15
42001960,2974049890,15
5025758305,2974049890,15
3588278892,41501559,15
41190864,41573941,15
4167931485,41573941,15
320988509,41501559,15
255722118,8703186571,15
41190820,41573941,15
42376125,41501559,15
42024050,41501559,15
5162648964,2714317928,15
41969461,41573985,15
3931741122,8703186571,15
41819075,5078563599,15
4341929508,41501559,15
42001768,2714317928,15
41719551,41573941,15
